"GeneNames"	"value1"	"value2"	"log2(Fold_change)"	"log2(Fold_change) normalized"	"z-score"	"p-value"	"q-value(Benjamini et al. 1995)"	"q-value(Storey et al. 2003)"	"Signature(p-value < 0.001)"
NM_001135971	61	128	-1.06926266243711	-1.31743611415045	-6.08103239206143	1.19411163739246e-09	1.5162677131826e-09	4.22830172979203e-11	TRUE
NM_001303057	802	906	-0.175908813591315	-0.424082265304649	-6.07980446659488	1.20329192688471e-09	1.52778025663842e-09	4.26040589384258e-11	TRUE
NM_200728	15475	12108	0.353978829161475	0.105805377448141	6.07876209774949	1.2111389117054e-09	1.53759793007281e-09	4.28778370133941e-11	TRUE
NM_001171028	166	59	1.49239638198508	1.24422293027175	6.07786489278137	1.21793302997544e-09	1.54607720991778e-09	4.31142923129704e-11	TRUE
NM_001128668	197	289	-0.552873863044302	-0.801047314757636	-6.07592207822079	1.23277265016769e-09	1.56476709957952e-09	4.36354832088744e-11	TRUE
NM_212789	42	102	-1.28010791919273	-1.52828137090607	-6.07125472355851	1.26914691393193e-09	1.61078494898657e-09	4.49187483642124e-11	TRUE
NM_001114888	37	0	6.20945336562895	5.96127991391562	6.07078890456962	1.27283410049751e-09	1.6148541479101e-09	4.50194624354513e-11	TRUE
NM_001034019	37	0	6.20945336562895	5.96127991391562	6.07078890456962	1.27283410049751e-09	1.6148541479101e-09	4.50194624354513e-11	TRUE
NM_001003512	37	0	6.20945336562895	5.96127991391562	6.07078890456962	1.27283410049751e-09	1.6148541479101e-09	4.50194624354513e-11	TRUE
NM_001013275	37	0	6.20945336562895	5.96127991391562	6.07078890456962	1.27283410049751e-09	1.6148541479101e-09	4.50194624354513e-11	TRUE
NM_001037381	37	0	6.20945336562895	5.96127991391562	6.07078890456962	1.27283410049751e-09	1.6148541479101e-09	4.50194624354513e-11	TRUE
NM_201339	37	0	6.20945336562895	5.96127991391562	6.07078890456962	1.27283410049751e-09	1.6148541479101e-09	4.50194624354513e-11	TRUE
NM_001012365	37	0	6.20945336562895	5.96127991391562	6.07078890456962	1.27283410049751e-09	1.6148541479101e-09	4.50194624354513e-11	TRUE
NM_001301416	173	262	-0.598794773900726	-0.846968225614059	-6.06829856504746	1.29272420260659e-09	1.63946926639605e-09	4.57186463496797e-11	TRUE
NM_213532	4304	3147	0.451700899258199	0.203527447544865	6.06293641801984	1.3365851369756e-09	1.69493485875044e-09	4.72653736067269e-11	TRUE
NM_001018123	91	21	2.11547721741994	1.8673037657066	6.06237621788696	1.3412502541795e-09	1.70069012399644e-09	4.74258663599756e-11	TRUE
NM_001004681	9275	7102	0.385121921374557	0.136948469661223	6.05835545195518	1.37520246388841e-09	1.74357649750671e-09	4.86218064022349e-11	TRUE
NM_001114571	59	125	-1.08314123530025	-1.33131468701358	-6.05806637222045	1.37767553848068e-09	1.74654712336845e-09	4.87046460113655e-11	TRUE
NM_001020516	140	224	-0.678071905112637	-0.926245356825971	-6.05247468427496	1.42637420090149e-09	1.80811411023367e-09	5.0421518268138e-11	TRUE
NM_001017712	694	403	0.784155824050293	0.535982372336959	6.05243378905167	1.42673646974927e-09	1.80840261617833e-09	5.04295636164247e-11	TRUE
NM_131677	24	75	-1.64385618977472	-1.89202964148806	-6.05144095185679	1.43555905022713e-09	1.8194135843747e-09	5.07366182049161e-11	TRUE
NM_001025552	1425	1500	-0.0740005814437765	-0.32217403315711	-6.0489747071963	1.457705400968e-09	1.84730729748945e-09	5.1514469203048e-11	TRUE
NM_200486	11187	8642	0.372386066905065	0.124212615191731	6.04816984118184	1.46500473203792e-09	1.85638232913137e-09	5.17675377849075e-11	TRUE
NM_198825	66	134	-1.02169507109932	-1.26986852281265	-6.04691342511863	1.47647043462461e-09	1.87073457219657e-09	5.21677679926167e-11	TRUE
NM_001030238	742	846	-0.189238476499147	-0.437411928212481	-6.04571910767043	1.48745049846304e-09	1.88446884549125e-09	5.25507653421244e-11	TRUE
NM_001080032	118	34	1.7951802081115	1.54700675639817	6.04568072479402	1.48780469154066e-09	1.88473975452906e-09	5.2558319978705e-11	TRUE
NM_131167	0	31	-5.95419631038687	-6.20236976210021	-6.04300929950935	1.51265931728851e-09	1.91550257568371e-09	5.34010718249904e-11	TRUE
NM_001077331	0	31	-5.95419631038687	-6.20236976210021	-6.04300929950935	1.51265931728851e-09	1.91550257568371e-09	5.34010718249904e-11	TRUE
NM_181494	0	31	-5.95419631038687	-6.20236976210021	-6.04300929950935	1.51265931728851e-09	1.91550257568371e-09	5.34010718249904e-11	TRUE
NM_001085494	0	31	-5.95419631038687	-6.20236976210021	-6.04300929950935	1.51265931728851e-09	1.91550257568371e-09	5.34010718249904e-11	TRUE
NM_001126478	0	31	-5.95419631038687	-6.20236976210021	-6.04300929950935	1.51265931728851e-09	1.91550257568371e-09	5.34010718249904e-11	TRUE
NM_001159830	0	31	-5.95419631038687	-6.20236976210021	-6.04300929950935	1.51265931728851e-09	1.91550257568371e-09	5.34010718249904e-11	TRUE
NM_131379	0	31	-5.95419631038687	-6.20236976210021	-6.04300929950935	1.51265931728851e-09	1.91550257568371e-09	5.34010718249904e-11	TRUE
NM_212918	678	783	-0.207727034154697	-0.455900485868031	-6.04270798058618	1.5154880203292e-09	1.91836096690993e-09	5.3495889441088e-11	TRUE
NM_200791	2298	1592	0.529538462102463	0.28136501038913	6.04238911108583	1.51848709806695e-09	1.92197612902658e-09	5.3596702747989e-11	TRUE
NM_001110386	1651	1711	-0.0514996395761553	-0.299673091289489	-6.03270411865955	1.61238480710518e-09	2.04063178037779e-09	5.6905563653593e-11	TRUE
NM_001126406	10076	7750	0.37865481168528	0.130481359971946	6.02311088306801	1.71096139445071e-09	2.16518609034814e-09	6.03789160155928e-11	TRUE
NM_001083018	195	76	1.35940280030603	1.11122934859269	6.02044511343286	1.73938081133566e-09	2.20094285098146e-09	6.13760379058973e-11	TRUE
NM_199754	17857	16049	0.154006319104889	-0.0941671326084448	-6.01657857018444	1.781420532801e-09	2.25392583760028e-09	6.28535346040211e-11	TRUE
NM_001002703	32412	28650	0.177992906698494	-0.07018054501484	-6.01629661771062	1.78452455013012e-09	2.25764044273104e-09	6.2957121003463e-11	TRUE
NM_001100142	52	115	-1.14505033280328	-1.39322378451662	-6.0160157134886	1.78762226772601e-09	2.26134637880593e-09	6.30604656554643e-11	TRUE
NM_001077604	2274	2287	-0.00822411151942504	-0.256397563232759	-6.01234491444669	1.82858739567915e-09	2.3129494677072e-09	6.44994821837914e-11	TRUE
NM_001111169	13	56	-2.10691520391651	-2.35508865562985	-6.00693346506621	1.89065056334805e-09	2.39122687808587e-09	6.66823454527918e-11	TRUE
NM_001007357	447	235	0.927614074618319	0.679440622904985	6.00632023374713	1.8978117730643e-09	2.40005806071835e-09	6.69286140007297e-11	TRUE
NM_200714	863	962	-0.156676334591086	-0.40484978630442	-6.00073325899074	1.96428447157905e-09	2.48388849085257e-09	6.92663301551001e-11	TRUE
NM_001012375	177	66	1.42321143072454	1.17503797901121	5.99851891943142	1.99125323323638e-09	2.51775408812599e-09	7.02107145951743e-11	TRUE
NM_001145593	84	156	-0.893084796083488	-1.14125824779682	-5.99580828248916	2.02475784862092e-09	2.55987650798246e-09	7.13853508364769e-11	TRUE
NM_001002118	10491	9611	0.126393749214166	-0.121779702499167	-5.99235952317589	2.06818068229705e-09	2.6145292978615e-09	7.29094120822213e-11	TRUE
NM_001014817	12	54	-2.16992500144231	-2.41809845315565	-5.99073963271532	2.08888834182817e-09	2.64045868907734e-09	7.36324855129697e-11	TRUE
NM_001302620	36	0	6.16992500144231	5.92175154972898	5.98936793807431	2.10658103930608e-09	2.66244719241395e-09	7.42421684539386e-11	TRUE
NM_001166331	36	0	6.16992500144231	5.92175154972898	5.98936793807431	2.10658103930608e-09	2.66244719241395e-09	7.42421684539386e-11	TRUE
NM_001114570	276	125	1.14274017211608	0.894566720402747	5.98660284144067	2.14269128566484e-09	2.70770361226308e-09	7.55076941094066e-11	TRUE
NM_131345	57422	50143	0.19555526668492	-0.0526181850284137	-5.98611467649012	2.14912870231187e-09	2.7155829692899e-09	7.57274198125692e-11	TRUE
NM_001128362	89	162	-0.864116571918227	-1.11229002363156	-5.98490336471967	2.16518371914147e-09	2.73561224883625e-09	7.62859612667992e-11	TRUE
NM_001163918	407	209	0.961525852185365	0.713352400472031	5.98208230054327	2.20302902554047e-09	2.78316622024248e-09	7.76120631009761e-11	TRUE
NM_197935	16	61	-1.93073733756289	-2.17891078927622	-5.98018509152101	2.22884215936065e-09	2.81551199585088e-09	7.85140654173703e-11	TRUE
NM_212783	6	42	-2.8073549220576	-3.05552837377094	-5.9779070374177	2.26022645699985e-09	2.85488861486163e-09	7.96121315756681e-11	TRUE
NM_001089566	289	386	-0.417531354767402	-0.665704806480735	-5.97401241741028	2.31488170317949e-09	2.9236485619163e-09	8.15295885032539e-11	TRUE
NM_001013525	187	72	1.37696945844532	1.12879600673199	5.97065297196271	2.36305899538692e-09	2.984214820846e-09	8.32185542127587e-11	TRUE
NM_001003570	12827	11655	0.138234785507732	-0.109938666205601	-5.9695201322728	2.37952399837189e-09	3.00472524451173e-09	8.37905129711665e-11	TRUE
NM_001030200	24	74	-1.62449086490779	-1.87266431662113	-5.96943754497938	2.38072870520915e-09	3.00582248634747e-09	8.38171704856297e-11	TRUE
