"GeneNames"	"value1"	"value2"	"log2(Fold_change)"	"log2(Fold_change) normalized"	"z-score"	"p-value"	"q-value(Benjamini et al. 1995)"	"q-value(Storey et al. 2003)"	"Signature(p-value < 0.001)"
NM_001003752	3544	7459	-1.07360362286843	-0.65594036710596	-23.17357204181	8.41274716315397e-119	4.13941433406942e-118	3.53626378035436e-119	TRUE
NM_001326577	1678	880	0.931167286915164	1.34883054267763	23.1662279386436	9.97643695752853e-119	4.90696243114638e-118	4.19197309484205e-119	TRUE
NM_001001403	12440	21441	-0.785385708638596	-0.367722452876131	-23.1546373916477	1.30549410787958e-118	6.41872037059224e-118	5.48345406641948e-119	TRUE
NM_001020736	4439	3535	0.328524493628333	0.746187749390799	23.1392919515268	1.86347395076305e-118	9.15868659146694e-118	7.82418213186737e-119	TRUE
NM_001080644	1891	1065	0.828295932836561	1.24595918859903	23.1256355728176	2.55725985533712e-118	1.25638032214755e-117	1.07331421041695e-118	TRUE
NM_001082803	2596	1707	0.604827324971401	1.02249058073387	23.1139650322454	3.35100331469337e-118	1.64572617608661e-117	1.40592881001956e-118	TRUE
NM_212988	27396	30211	-0.141108673424945	0.276554582337521	23.1133915293798	3.39580307316724e-118	1.66710031187028e-117	1.42418853859665e-118	TRUE
NM_001005952	3571	7496	-1.06979281907312	-0.652129563310654	-23.1112713662595	3.56667426920863e-118	1.75032728245137e-117	1.49528857784427e-118	TRUE
NM_001204124	5293	10316	-0.962726119154338	-0.545062863391872	-23.0854447520042	6.48375572788656e-118	3.18067355075413e-117	2.71722030386975e-118	TRUE
NM_001122613	329	1497	-2.18591473232317	-1.76825147656071	-23.0795308501449	7.43399018875536e-118	3.64544992564379e-117	3.11427450715627e-118	TRUE
NM_001007060	32981	37036	-0.167293148928982	0.250370106833484	23.0639284074189	1.066227523837e-117	5.22655836938361e-117	4.46500097983408e-118	TRUE
NM_001128351	4681	9317	-0.993048728257543	-0.575385472495077	-23.0382649562727	1.92862364430066e-117	9.45040075742219e-117	8.07339087398179e-118	TRUE
NM_201119	2304	5322	-1.20782779357991	-0.790164537817442	-23.0377205644748	1.95301014626726e-117	9.5663027968119e-117	8.17240492545997e-118	TRUE
NM_001006055	10921	19103	-0.806694256642896	-0.38903100088043	-23.036893490902	1.99064988815319e-117	9.74701093884019e-117	8.32678223729614e-118	TRUE
NM_001045140	3408	7209	-1.08087381362519	-0.663210557862719	-23.0054035784878	4.11548985557928e-117	2.01435083212668e-116	1.7208414799041e-117	TRUE
NM_001098179	18634	19702	-0.0804046903288729	0.337258565433593	23.0023775189145	4.41275876751176e-117	2.1590407113062e-116	1.84444871943921e-117	TRUE
NM_001002525	14982	25239	-0.752424523013682	-0.334761267251216	-23.0012661397882	4.52723756957803e-117	2.21422147947416e-116	1.89158914465309e-117	TRUE
NM_001080578	1353	621	1.12349666575605	1.54115992151852	22.9892018611658	5.97781748422489e-117	2.92258812834443e-116	2.49674028958531e-117	TRUE
NM_201042	3004	6523	-1.11865081566903	-0.700987559906562	-22.9790003228044	7.56075390723176e-117	3.69510955286366e-116	3.15669827218944e-117	TRUE
NM_001082991	1023	2965	-1.53522595968804	-1.11756270392557	-22.9787834500239	7.59859838359083e-117	3.71221413166887e-116	3.17131055731617e-117	TRUE
NM_201058	14474	14801	-0.0322309752354002	0.385432280527066	22.9756064050894	8.17516694848986e-117	3.99239527053919e-116	3.41066673994588e-117	TRUE
NM_001020524	7818	7190	0.12080781396263	0.538471069725096	22.9724343206927	8.79439181255687e-117	4.29319037436347e-116	3.66763324417016e-117	TRUE
NM_001270571	887	2694	-1.60274384116124	-1.18508058539877	-22.9566201550884	1.2653895449222e-116	6.17498736399744e-116	5.27523518960781e-117	TRUE
NM_001039460	2327	1467	0.66560233973196	1.08326559549443	22.9414983988379	1.79152380283773e-116	8.73920586545077e-116	7.46582358685325e-117	TRUE
NM_212955	977	341	1.51858682294421	1.93625007870668	22.9193355825151	2.98092020701314e-116	1.4535746983282e-115	1.24177556120221e-116	TRUE
NM_001310042	41953	48134	-0.198282338732389	0.219380917030077	22.9163843958031	3.18991802069235e-116	1.55490622802358e-115	1.32834215960247e-116	TRUE
NM_199754	10125	17857	-0.818567818113365	-0.400904562350899	-22.9054655963928	4.09853580541089e-116	1.9970601810153e-115	1.7060702349092e-116	TRUE
NM_201291	5523	10654	-0.947871153490087	-0.530207897727621	-22.8800455920639	7.3424306071179e-116	3.57635044209283e-115	3.0552434507792e-116	TRUE
NM_001166155	5675	4864	0.222477163622054	0.64014041938452	22.8612681067273	1.12902698180262e-115	5.49721088116214e-115	4.69621694354831e-116	TRUE
NM_001017893	5703	4894	0.220706931290318	0.638370187052784	22.8612347044957	1.12989109965524e-115	5.49936548653096e-115	4.69805760319526e-116	TRUE
NM_200909	7958	14497	-0.865276576584378	-0.447613320821912	-22.8568716573139	1.24862947195661e-115	6.07501784117943e-115	5.18983214121736e-116	TRUE
NM_001145782	290	1388	-2.25888276256333	-1.84121950680086	-22.8497186486744	1.47083189337051e-115	7.15344191540825e-115	6.11111995774972e-116	TRUE
NM_001025462	28789	31976	-0.151471800817408	0.266191454945058	22.8469825630811	1.56590274706498e-115	7.61298376172779e-115	6.50370235118685e-116	TRUE
NM_001320052	4076	3188	0.354502422175342	0.772165677937808	22.8418566783826	1.76082752712237e-115	8.55746433076905e-115	7.31056345713119e-116	TRUE
NM_001003434	197	1148	-2.54285510721931	-2.12519185145685	-22.8338088319404	2.11685248375487e-115	1.02838822339287e-114	8.78542647107279e-116	TRUE
NM_001004635	3338	7069	-1.08252218719698	-0.664858931434516	-22.8310146389569	2.25657998456673e-115	1.0958611064292e-114	9.36184113551861e-116	TRUE
NM_001025509	6695	5972	0.164869890077131	0.582533145839597	22.8231201277611	2.70311131929183e-115	1.31222121506672e-114	1.12101857416412e-115	TRUE
NM_200972	2264	1417	0.676034199913865	1.09369745567633	22.8054629319337	4.04714166740988e-115	1.96394776449756e-114	1.6777826005335e-115	TRUE
NM_178132	154	1027	-2.73743392562329	-2.31977066986083	-22.7927076461152	5.41610570556007e-115	2.62728459737172e-114	2.24446518578748e-115	TRUE
NM_001037112	1255	552	1.18494719205997	1.60261044782243	22.7799299764271	7.25065441524168e-115	3.51589353875139e-114	3.00359567157549e-115	TRUE
NM_001328014	1199	509	1.23609409733853	1.65375735310099	22.7737562833358	8.3476410029185e-115	4.04632587298658e-114	3.4567391600266e-115	TRUE
NM_001128693	3626	2737	0.405783490379202	0.823446746141668	22.7715863408204	8.77133742835395e-115	4.25012352954862e-114	3.63084163280635e-115	TRUE
NM_001077794	12768	12851	-0.00934807036554197	0.408315185396924	22.7696727303271	9.16275711261353e-115	4.43813604815934e-114	3.79145900670491e-115	TRUE
NM_001089346	874	2653	-1.6019194907281	-1.18425623496563	-22.7686656070363	9.37571233788777e-115	4.53959880235368e-114	3.87813770899362e-115	TRUE
NM_131073	5015	4172	0.265510542979777	0.683173798742243	22.7650821296021	1.01742897721078e-114	4.92443175463357e-114	4.20689697801233e-115	TRUE
NM_001080669	12461	12499	-0.00439282483251802	0.413270430929948	22.7476845691133	1.51277540363973e-114	7.31922936390085e-114	6.25275065765731e-115	TRUE
NM_001115065	1690	910	0.893084796083489	1.31074805184595	22.7420996573524	1.71809960706883e-114	8.30956294942744e-114	7.09878357592361e-115	TRUE
NM_199972	1701	4216	-1.30949172597383	-0.891828470211362	-22.7386138496032	1.86011815941728e-114	8.9930990628017e-114	7.68272222163857e-115	TRUE
NM_001089343	2157	5030	-1.22153222353244	-0.803868967769971	-22.7311875920754	2.2029571871164e-114	1.06466741566307e-113	9.09535629024967e-115	TRUE
NM_001326713	11666	11584	0.0101764717305599	0.427839727493026	22.7285016622864	2.34191533776354e-114	1.1314053209551e-113	9.66549210709335e-115	TRUE
NM_201016	5491	4682	0.229943976832253	0.647607232594719	22.7204716705208	2.81172609445779e-114	1.357873201633e-113	1.16001864846615e-114	TRUE
NM_001166238	15927	16556	-0.0558796063854032	0.361783649377063	22.7155171810767	3.14738477027012e-114	1.51941106378251e-113	1.2980189656544e-114	TRUE
NM_001005924	800	2499	-1.64327899631198	-1.22561574054951	-22.7063830087329	3.87450633171321e-114	1.86973957050933e-113	1.59730140263281e-114	TRUE
NM_001002339	1928	4621	-1.26110003793657	-0.843436782174108	-22.7036227626903	4.12559707018648e-114	1.99017337956777e-113	1.70018690346278e-114	TRUE
