spearman	sample1	sample2
0.562702840458	NAI_64cell_rep1	DMSO_shield_rep1
1.0	NAI_sphere_rep1	NAI_sphere_rep1
0.773827688712	NAI_sphere_rep1	NAI_shield_rep1
0.880927938296	NAI_sphere_rep1	DMSO_4cell_rep1
0.955065283871	NAI_sphere_rep1	NAI_sphere_rep2
0.738364583791	NAI_sphere_rep1	DMSO_egg_rep2
0.708001235459	NAI_sphere_rep1	NAI_egg_rep1
0.759258165878	NAI_sphere_rep1	DMSO_1cell_rep1
0.701471661544	NAI_sphere_rep1	DMSO_egg_rep1
0.895385190094	NAI_sphere_rep1	NAI_4cell_rep1
0.903291188797	NAI_sphere_rep1	NAI_64cell_rep2
0.65226861363	NAI_sphere_rep1	DMSO_shield_rep2
0.753926610274	NAI_sphere_rep1	NAI_egg_rep2
0.949508378472	NAI_sphere_rep1	DMSO_sphere_rep1
0.654882814235	NAI_sphere_rep1	DMSO_shield_rep1
1.0	NAI_shield_rep1	NAI_shield_rep1
0.641537706265	NAI_shield_rep1	DMSO_4cell_rep1
0.68314063453	NAI_shield_rep1	NAI_sphere_rep2
0.56852336511	NAI_shield_rep1	DMSO_egg_rep2
0.553875144562	NAI_shield_rep1	NAI_egg_rep1
0.571268727078	NAI_shield_rep1	DMSO_1cell_rep1
0.543693238279	NAI_shield_rep1	DMSO_egg_rep1
0.656658292797	NAI_shield_rep1	NAI_4cell_rep1
0.65811960474	NAI_shield_rep1	NAI_64cell_rep2
0.951932957663	NAI_shield_rep1	DMSO_shield_rep2
0.579701639095	NAI_shield_rep1	NAI_egg_rep2
0.709256917831	NAI_shield_rep1	DMSO_sphere_rep1
0.951694011221	NAI_shield_rep1	DMSO_shield_rep1
1.0	DMSO_4cell_rep1	DMSO_4cell_rep1
0.924714093135	DMSO_4cell_rep1	NAI_sphere_rep2
0.891031573731	DMSO_4cell_rep1	DMSO_egg_rep2
0.852487841401	DMSO_4cell_rep1	NAI_egg_rep1
0.907612507802	DMSO_4cell_rep1	DMSO_1cell_rep1
0.849621434172	DMSO_4cell_rep1	DMSO_egg_rep1
0.987873806076	DMSO_4cell_rep1	NAI_4cell_rep1
0.930918422774	DMSO_4cell_rep1	NAI_64cell_rep2
0.575653982895	DMSO_4cell_rep1	DMSO_shield_rep2
0.898558086811	DMSO_4cell_rep1	NAI_egg_rep2
0.930972707219	DMSO_4cell_rep1	DMSO_sphere_rep1
0.579139947769	DMSO_4cell_rep1	DMSO_shield_rep1
1.0	NAI_sphere_rep2	NAI_sphere_rep2
