	transcript	riboseq(control)	riboseq(RK33)	rnaseq(control)	rnaseq(RK33)	TE(control)	TE(RK33)	log2(TE(control))	log2(TE(RK33))
4715	NM_001003830	3.13961268953	2.21945333089	15.8694738708	19.4653791269	0.197839746616	0.114020554977	-2.33759579778	-3.13263416619
4716	NM_001003837	15.8128573303	15.8851184469	5.43667164394	6.1676596979	2.90855478608	2.57555040728	1.54030247929	1.36488077599
4717	NM_001003835	11.352714214	0.364793394898	10.7054378905	14.6473368385	1.06046238651	0.0249051004234	0.0846934508948	-5.32741496146
4718	NM_201582	3.30365631337	0.583854740528	6.51300503412	7.4277885415	0.507239944705	0.0786041144367	-0.979259733955	-3.6692513592
4719	NM_001033111	25.1957308845	8.68846471325	25.7388942915	27.7308773479	0.978897174026	0.313313733433	-0.0307707716407	-1.67432008636
4720	NM_201580	60.9613781401	22.937546843	103.880146764	83.3664614034	0.586843396348	0.275141183359	-0.768952534406	-1.86175599529
4721	NM_201587	8.24717101416	4.53451113296	32.995638104	33.8462130479	0.249947310859	0.133973958225	-2.0003040895	-2.89997549712
4722	NM_201584	31.1336972632	22.0090166931	2008.96732835	1804.33775548	0.0154973636574	0.0121978363675	-6.01183337827	-6.3572309222
4723	NM_001160823	5.8703267567	11.4120827297	15.0467192616	16.1406000985	0.390139980327	0.707042034376	-1.35793624607	-0.500132107598
4724	NM_001159994	1.73096517103	3.05913244277	2.24120760804	3.51785947348	0.772335933905	0.869600524362	-0.372699598739	-0.201575284589
4725	NM_001113597	6.22257845792	0.87977237009	3.84248762005	4.62704505105	1.61941405496	0.190136979516	0.695471903902	-2.39488894756
4726	NM_201341	19.1198588821	11.8266754035	39.0605284747	31.3273572565	0.489493092611	0.377519089997	-1.03063959323	-1.40537849588
4727	NM_201340	13.8469113705	0.752973170283	21.7664458781	28.2054484577	0.636158583172	0.0266960183743	-0.652541645986	-5.22723160516
4728	NM_199646	16.2319526049	16.7706909671	13.3430075738	19.0427331817	1.21651378185	0.880687179045	0.282752664624	-0.183298431454
4729	NM_001100151	1.87806864679	3.09783433836	2.29596903124	1.42482012661	0.817985182394	2.1741932757	-0.289853385559	1.12048019497
4730	NM_199640	69.4885399312	38.5016553481	230.590844989	267.092440423	0.301349951402	0.144151048555	-1.73048826275	-2.79434676385
4731	NM_199641	8.88280663379	7.84928617022	2.5337815424	3.92878902887	3.50575078599	1.99788945462	1.80972344259	0.998476759467
4732	NM_201347	13.5231653987	2.1031535544	15.3259049668	13.5527547353	0.882373042766	0.155182735575	-0.180539378824	-2.68796003147
4733	NM_001316693	12.2377376339	0.432554748628	27.5855248567	36.2749129134	0.443628957487	0.0119243497472	-1.17257455568	-6.38994559374
4734	NM_201331	25.0133978012	21.843036175	90.7378781181	95.9444596977	0.275666549846	0.227663340268	-1.85900387759	-2.13502609622
4735	NM_001328196	4.53430119504	9.61615735993	5.23332945955	9.28914979591	0.866427621285	1.0352031748	-0.206848858802	0.0499139469629
4736	NM_001025485	13.8392018524	1.86346689623	25.2930285013	30.9548383423	0.547154796101	0.0601995357115	-0.869979049852	-4.05410382952
4737	NM_001025482	1.25827484793	0.889498985569	3.4057987041	5.66441620496	0.369450738946	0.157032773261	-1.43654608076	-2.6708624091
4738	NM_001003624	22.4891099497	14.762418944	17.6460290161	12.4693652754	1.27445726906	1.18389497925	0.349883002437	0.243541108304
4739	NM_001045340	10.4713936741	6.4771280358	67.4299842689	58.4113038468	0.155292838752	0.110888263217	-2.68693679276	-3.17282142096
4740	NM_001083583	31.1488813827	16.2032127371	61.1554948218	33.7227773296	0.509339045877	0.480482748462	-0.973301776563	-1.05744346234
4741	NM_001114421	7.97401630541	2.56226698232	38.3294978547	39.8030747573	0.208038632169	0.0643735941995	-2.26507663737	-3.95738716804
4742	NM_001020774	80.6239090577	25.1836652661	248.78645787	180.98532939	0.324068720412	0.139147550528	-1.62562831855	-2.84531258235
4743	NM_001045307	8.70632078163	9.57392745794	13.9364502488	16.2285682252	0.624715808273	0.589942829527	-0.678728057496	-0.761352943048
4744	NM_001278254	5.676357107	0.364793394898	7.1107568253	12.7611632745	0.798277489508	0.0285862179686	-0.325037765547	-5.12853642951
4745	NM_213246	22.4184425467	1.05653556461	18.6507056202	35.7544086124	1.20201578445	0.0295497983497	0.265455841145	-5.08070790441
4746	NM_201052	25.6234806744	25.6611278642	111.38931003	154.019987693	0.230035365759	0.166609076189	-2.12007241597	-2.58546109985
4747	NM_001045469	77.2588008935	5.66767221064	172.142736098	58.4339136666	0.44880662783	0.0969928566308	-1.15583411353	-3.36597769075
4748	NM_001040247	3.41006621709	0.60266054865	7.48197269961	8.96914674774	0.455771005054	0.0671926288643	-1.13361894781	-3.89555321398
4749	NM_001003994	43.2335664512	25.7996394223	123.126532771	96.7671036705	0.351131193888	0.266615806857	-1.50991792644	-1.90716577883
4750	NM_213370	11.2498477755	6.1854616443	192.353264524	212.906184507	0.0584853488364	0.0290525221643	-4.09578092933	-5.10519277465
4751	NM_001045396	13.9360359178	1.09462834347	14.5694706663	18.1580509651	0.956523146035	0.0602833611148	-0.0641282154258	-4.05209633275
4752	NM_001003620	9.16906022118	2.16059572326	4.97794221859	5.21716614335	1.84193785676	0.414132052516	0.881224388651	-1.27183722781
4753	NM_201332	1.41820510898	1.00255680056	59.7322692516	84.6144031368	0.0237426959791	0.0118485359867	-5.39637242772	-6.39914738004
4754	NM_001004555	9.40031527986	4.74661848051	57.9217503963	74.64971918	0.162293356391	0.0635852154924	-2.62332415167	-3.97516483331
4755	NM_001004554	15.0493831399	6.07925823809	111.282967387	115.479672122	0.135235278976	0.0526435356663	-2.88645653672	-4.24759980258
4756	NM_001353848	6.62333423834	1.56072130446	27.2599142406	48.3075717748	0.242969738638	0.0323080057043	-2.04115145445	-4.95196449053
4757	NM_001005401	3.63903948826	8.14627488223	38.8415808265	49.5999813084	0.0936892734751	0.164239474841	-3.41597230721	-2.60612717536
4758	NM_200748	24.5414468993	23.8546365416	7.09918931229	13.9100605049	3.45693653454	1.71491968228	1.78949411759	0.778141009818
4759	NM_001042746	4.69130090665	2.65309755135	3.66374234826	9.67913949065	1.28046692718	0.274104692252	0.356669990451	-1.86720106978
4760	NM_001042744	74.2704077093	20.881953382	33.6977171739	45.982679644	2.20401896443	0.454126500319	1.1401366376	-1.13883386794
4761	NM_001042745	2.72753538893	0.128543190997	3.72755931116	1.43616159284	0.731721526406	0.0895046850145	-0.450633392979	-3.48189298929
4762	NM_200743	63.7165606152	26.4042107174	264.03641027	196.884373125	0.241317326463	0.134110240941	-2.05099659084	-2.8985086862
