egg(transcript)	egg(UTR5)	egg(CDS)	egg(UTR3)	1cell(transcript)	1cell(UTR5)	1cell(CDS)	1cell(UTR3)	4cell(transcript)	4cell(UTR5)	4cell(CDS)	4cell(UTR3)	64cell(transcript)	64cell(UTR5)	64cell(CDS)	64cell(UTR3)	1K(transcript)	1K(UTR5)	1K(CDS)	1K(UTR3)	sphere(transcript)	sphere(UTR5)	sphere(CDS)	sphere(UTR3)	shield(transcript)	shield(UTR5)	shield(CDS)	shield(UTR3)
NM_001130649	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NM_001130648	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NM_001002315	0.2908261376896149	NULL	0.27320975609756093	0.32195221238938054	0.3455652370203161	0.3713840579710145	0.3327479853479854	0.36363066202090594	0.2762866389274156	0.2647605633802817	0.2663792840822544	0.3050530035335689	0.238497988377291	0.26088380281690143	0.22453333333333333	0.2601037414965986	0.27939142091152813	0.2530590277777778	0.2847684981684982	0.279808547008547	0.30200400890868595	0.29984931506849316	0.2961179487179487	0.3167380952380952	NULL	NULL	NULL	NULL
NM_001002314	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.25581916621548456	NULL	0.25464546989307824	0.28561428571428565	NULL	NULL	NULL	NULL
NM_001002317	0.31145699831365936	0.4289230769230768	0.3005160550458716	0.2217727272727273	0.35768465430016866	0.4820989010989012	0.33518119266055046	0.3348030303030304	0.2913361629881155	0.3111034482758621	0.3111605504587156	0.1343181818181818	0.2577283531409168	0.28888505747126436	0.27005504587155965	0.13522727272727275	0.26851111111111114	0.2553253012048192	0.3047591743119266	0.04563636363636363	0.2642363945578231	0.2938488372093023	0.2819334862385321	0.10874242424242424	0.3124227504244482	0.36836781609195407	0.33132568807339446	0.11380303030303032
NM_001002316	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.2594636762554851	0.27997872340425534	0.25751414427157	0.25918951612903224	0.2411421639980592	0.2599230769230769	0.23556589147286824	0.2516172344689379	0.2706296116504855	0.2899160839160839	0.27055884425651866	0.2652931726907631	0.30874163839069313	0.33133333333333337	0.3040599013389711	0.3155219999999999	0.2823491124260355	0.3111269841269842	0.28052380952380956	0.27895943204868157
NM_001002311	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NM_001002313	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NM_001002312	NULL	NULL	NULL	0.2743318181818182	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.24119711538461536	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NM_001002319	NULL	NULL	NULL	0.2696856223175965	0.3410672557682867	0.31454455445544555	0.37430144167758844	0.32173316283034953	0.2743141907925961	0.2526363636363636	0.3072860759493671	0.2547476793248945	0.2441687528975429	0.25941044776119404	0.2651360381861575	0.22761772151898732	0.26179846362403975	0.2823525179856115	0.31028458942632164	0.22301265822784808	0.302327352297593	0.3457602739726027	0.33874737945492667	0.26765569620253166	NULL	NULL	NULL	NULL
NM_001002318	NULL	NULL	NULL	NULL	0.3588737174427782	NULL	NULL	0.3642062868369352	0.2874265372168285	NULL	0.2720705882352941	0.2943354603463993	0.27810979547900966	0.26416393442622954	0.27415723270440256	0.2819418181818181	0.2950726052471019	NULL	0.31521841541755885	0.2908974121996303	0.3242181048173637	0.31313076923076916	0.33711635220125785	0.3181967943009795	NULL	NULL	NULL	NULL
NM_201578	0.2961531100478469	NULL	0.2978340643274854	0.2186	0.3651554508748318	0.4174761904761905	0.36392397660818715	0.33585454545454535	0.2910268997982515	0.30303125000000003	0.2963406432748538	0.1448909090909091	0.2607103494623656	0.3664769230769231	0.2606483918128655	0.13725454545454543	0.28024899598393577	0.23978873239436618	0.29051827485380116	0.07705454545454545	0.3165997340425532	0.37169135802469133	0.3175036549707602	0.2129818181818182	0.3262900864936793	0.334475	0.32986915204678363	0.22536363636363635
NM_201579	0.28952211906062264	NULL	0.2733204837490552	0.3250735586481113	0.3361795429815016	NULL	0.34515721844293273	0.30579051383399214	0.28872194854953476	NULL	0.28468480725623585	0.2952395209580838	0.2575811403508772	NULL	0.24579062736205595	0.28871656686626745	0.29472179627601314	NULL	0.30625774754346186	0.25996600000000003	0.30523491027732463	NULL	0.316265306122449	0.26521782178217823	0.29890726681127977	NULL	0.3156545729402872	0.24566338582677164
NM_201577	0.3181183889340927	NULL	0.29603081232492995	0.3475961923847696	0.3358355718355718	NULL	0.31064285714285716	0.36487174348697393	0.27776040404040403	0.3249387755102041	0.26778991596638657	0.28971042084168336	0.24858792756539236	0.3397118644067796	0.23910784313725492	0.25676553106212424	0.2657219315895372	0.39174576271186445	0.2617787114845938	0.2639138276553106	0.29729501607717046	0.47874193548387095	0.29147689075630256	0.2943476953907816	0.29430728530728534	NULL	0.29987605042016807	0.27940480961923847
NM_001080173	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NM_001080171	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.2703423799582464
NM_001080170	NULL	NULL	NULL	NULL	0.32897081130774536	0.3461290322580646	0.3287227792026113	NULL	NULL	NULL	NULL	NULL	0.2343721068249258	NULL	0.23398796630565585	NULL	0.25662311801845555	0.26871875	0.2564321657622102	NULL	0.2870136674259681	0.3368767123287671	0.28617048876534634	NULL	NULL	NULL	NULL	NULL
NM_001080177	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.249593984962406	NULL	NULL	0.2745651499482937	0.2727514792899408	0.2741874643874644	NULL	0.29696699111299196	0.29973404255319147	0.29654621072088727	NULL
