value1	value2	log2.Fold_change.	log2.Fold_change..normalized	z.score	p.value	q.value.Benjamini.et.al..1995.	q.value.Storey.et.al..2003.	Signature.p.value...0.001.
NM_200835	3190	51474	-4.01221556838118	-3.80067156012322	-211.160980081882	0	0	0	TRUE
NM_001079961	28776	115391	-2.00359273468593	-1.79204872642797	-211.160175569388	0	0	0	TRUE
NM_001002596	10587	73095	-2.78747888729995	-2.575934879042	-210.87564582845	0	0	0	TRUE
NM_173222	64672	184131	-1.50951940501792	-1.29797539675997	-210.498847956537	0	0	0	TRUE
NM_001110472	4038	53731	-3.73404187284212	-3.52249786458416	-209.826090188804	0	0	0	TRUE
NM_001080751	817	43699	-5.74112037713541	-5.52957636887745	-209.780854139695	0	0	0	TRUE
NM_001025472	7652	64175	-3.06810261200403	-2.85655860374608	-208.71230986615	0	0	0	TRUE
NM_213535	12435	76576	-2.62248579443423	-2.41094178617627	-207.874554601018	0	0	0	TRUE
NM_001198751	1782	45433	-4.67217132959487	-4.46062732133691	-207.66814755605	0	0	0	TRUE
NM_145195	1376	43922	-4.99639137419017	-4.78484736593222	-207.059875598648	0	0	0	TRUE
NM_213387	2171	46304	-4.41470519591658	-4.20316118765862	-206.562277425569	0	0	0	TRUE
NM_197937	484	42419	-6.45355975295836	-6.2420157447004	-206.217349813485	0	0	0	TRUE
NM_001320425	16489	85628	-2.37657872201888	-2.16503471376092	-205.994355193025	0	0	0	TRUE
NM_199707	13536	78469	-2.53532134120629	-2.32377733294833	-205.908210662148	0	0	0	TRUE
NM_001077599	5244	55952	-3.41545011047596	-3.203906102218	-205.808415241762	0	0	0	TRUE
NM_001002606	3693	51060	-3.78932837008887	-3.57778436183091	-205.773266914975	0	0	0	TRUE
NM_001159971	5519	56771	-3.36267536372965	-3.15113135547169	-205.767931244212	0	0	0	TRUE
NM_213010	11685	73548	-2.65402837650535	-2.44248436824739	-205.262615218289	0	0	0	TRUE
