	DMSO_egg	DMSO_1cell	DMSO_4cell	DMSO_64cell	DMSO_1K	DMSO_sphere	DMSO_shield	NAI_egg	NAI_1cell	NAI_4cell	NAI_64cell	NAI_1K	NAI_sphere	NAI_shield
NM_001171590	1.53926200388	1.38960297987	1.41864611336	1.37859293303	1.45921594024	1.1601899455	1.56932427373	1.92117952033	1.30032002136	1.55587425345	1.81629644219	2.15536292446	1.67601432851	1.88044979803
NM_001018679	2.07586531798	2.10540100007	3.03074347173	3.39551989634	3.32574596329	3.42786251402	1.50064304238	1.98556532773	2.55238371383	3.30617770247	3.58191393454	3.68163012547	3.66117936049	2.36771279976
NM_001111089	1.35336170146	1.56352980561	2.39039624112	2.67410028418	3.82931702223	3.75485523227	5.19565328399	1.3525677231	1.98688689252	2.28777102394	2.81991209164	2.99793716601	3.54350955447	4.80201757158
NM_131022	1.00777161731	0.88230507867	1.65072790129	2.03588617283	1.49583829763	1.77773753556	1.05245798854	1.30795750078	1.85453581207	2.00737079946	1.95717608526	1.66122105897	1.55527150963	1.22545996536
NM_001111083	1.00226325061	0.737769924336	0.684937930254	0.933671463936	1.42094628475	1.01441930994	3.06607405255	2.06239326535	1.44721211252	1.91831125664	2.56106587484	2.33005622308	2.62281314202	4.62770363186
NM_200350	1.6653629998	1.79570416806	2.57020033306	3.26197698284	2.69683718884	2.91435586268	0.501156339605	1.59376180928	2.31987335811	2.69338735382	3.57519129498	3.30226958861	3.17074626688	0.490169660668
NM_200352	1.76128270853	2.17256744501	2.05439315847	2.25611062698	2.16058525266	2.24819855185	1.3257960864	1.63483398288	1.87250380597	2.21101606907	2.38016754447	2.10408239109	2.09891915731	1.78667968012
NM_200355	5.69472776595	5.94029710677	5.76943438692	5.70538772826	5.39634555806	5.70027713754	2.48222408471	5.73071204401	5.9047990523	5.960027339	5.92735377706	5.83779438932	5.65441075743	2.76492018679
NM_200354	2.57433295786	2.03911496337	2.62988983982	2.65006365289	1.76618306546	1.680032072	0.725395814204	2.86450862238	2.5347023825	2.59856214513	2.58536227514	1.95830899233	1.70740347492	1.03008283934
NM_200357	4.02228507331	4.14138008065	5.54799400483	6.14102112825	5.96410790429	5.834871889	5.34952019889	4.01373693496	5.03964897542	5.53070512472	6.290077954	6.10325246992	5.89317122742	5.2035050437
NM_001082411	0.628487741848	0.593644108881	0.512157083585	0.517323915928	2.02469614367	0.319997533196	3.66947748805	0.497384262096	0.381725059164	0.434902138784	0.670348928003	0.305669675652	0.694951541645	3.0392294441
NM_001278180	3.86830189399	4.11889223357	5.40342760035	5.99036319652	5.49921477484	5.65779977331	2.25467337368	3.55440862159	4.81156101978	5.43148252039	6.29895131501	6.39765661887	5.86030227339	2.5789338097
NM_001098190	0.713923322263	0.595932246955	0.947144805353	1.12620515421	1.24878026435	1.19721006053	1.54170370759	0.667116706173	0.688024710456	0.966478728109	1.09345947137	1.13497174684	1.23194254665	1.46037065019
NM_001098191	3.3205164124	3.66231826463	4.09631337944	3.92965891078	3.44144316268	3.65184774399	0.71654777472	3.16041664047	3.79561668695	4.03406568702	3.97074037384	3.85920171198	3.53599181166	0.827206657633
NM_001098192	5.20051209621	5.12123105883	5.45699138584	5.54099952947	4.62783914715	4.67516040878	4.26612976656	5.15950774108	4.80282460951	5.22344424143	4.94811771225	4.71129909158	4.1356777793	3.55506240076
NM_001003856	4.45515236405	5.21953395774	5.03120353515	4.35598218433	5.54779696013	5.61470519366	6.40422443619	4.2921199033	5.09444743953	4.97392425279	4.48970215104	4.50145432651	5.318189591	6.45499863001
NM_001003851	2.47075838885	2.19465469222	2.90869556546	3.18331778165	3.33001549843	3.51199742375	1.58606924519	2.62161143118	2.83641879691	2.97947516665	3.00928572589	3.06838301872	3.22169382415	1.88375124466
NM_001003850	5.94152939664	6.08066081711	5.93529313755	5.82143105702	5.80019097288	5.8333934133	5.38456434697	5.96537092704	6.12155876088	6.11515836891	6.03203866429	5.90199295139	5.86819796831	5.41227184081
