"GeneNames"	"value1"	"value2"	"log2(Fold_change)"	"log2(Fold_change) normalized"	"z-score"	"p-value"	"q-value(Benjamini et al. 1995)"	"q-value(Storey et al. 2003)"	"Signature(p-value < 0.001)"
NM_200292	16107	21468	-0.414499982491371	-0.167083323178636	-11.1884890414366	4.64277651897842e-29	6.97259660869506e-29	2.09223163508308e-30	TRUE
NM_001005593	2140	3440	-0.68479776830095	-0.437381108988215	-11.1870377249174	4.71937931450397e-29	7.08683551358553e-29	2.12651072280071e-30	TRUE
NM_001326488	121	0	7.91886323727459	8.16627989658733	11.1833242391643	4.92113991422179e-29	7.38855060483047e-29	2.21691905450884e-30	TRUE
NM_131302	121	0	7.91886323727459	8.16627989658733	11.1833242391643	4.92113991422179e-29	7.38855060483047e-29	2.21691905450884e-30	TRUE
NM_001002474	219	596	-1.44438146086099	-1.19696480154825	-11.1715217605543	5.62095257258792e-29	8.43780615928191e-29	2.53188961987756e-30	TRUE
NM_001305595	3230	4922	-0.607710492876873	-0.360293833564138	-11.1713812772565	5.62985073915978e-29	8.4502047793333e-29	2.53561001079628e-30	TRUE
NM_001003884	38	230	-2.59756253750079	-2.35014587818805	-11.1578527090366	6.55558424742976e-29	9.83858157642277e-29	2.95221318165282e-30	TRUE
NM_001004530	170	506	-1.57360263855661	-1.32618597924387	-11.1522513332623	6.98171965371292e-29	1.0476934641973e-28	3.14376054242095e-30	TRUE
NM_001077144	468	1012	-1.11262885511091	-0.865212195798171	-11.145205892325	7.55693082403483e-29	1.13388241928788e-28	3.40238336051198e-30	TRUE
NM_194369	120	0	7.90689059560852	8.15430725492125	11.1437842685905	7.67857511192478e-29	1.15200393815486e-28	3.45675968138213e-30	TRUE
NM_194376	2780	2424	0.197695184137919	0.445111843450653	11.1359006409359	8.3892665128419e-29	1.25848509332666e-28	3.77627227316582e-30	TRUE
NM_200837	202	50	2.01435529297707	2.26177195228981	11.1336384459319	8.60498877516124e-29	1.29069954068879e-28	3.87293652847887e-30	TRUE
NM_001020779	9556	9664	-0.0162136008687455	0.231203058443989	11.1294733461889	9.01666495829123e-29	1.35229533057301e-28	4.05776388536768e-30	TRUE
NM_001076654	239	72	1.73094180653844	1.97835846585117	11.1261673824021	9.35728489278153e-29	1.40322153934481e-28	4.21057557235718e-30	TRUE
NM_001142586	238	628	-1.39980298558368	-1.15238632627095	-11.1260408141552	9.37057615186777e-29	1.40505545178335e-28	4.21607850022639e-30	TRUE
